entity,as_of,population,current_census_median,projected_peak_median,projected_peak_p90,projected_peak_per_100k,benchmark_peak,benchmark_per_100k,benchmark_usable,utilisation_median,prob_exceed_benchmark,lead_time_days,lead_time_days_p25,horizon
Sierra Leone,2020-10-25,8605723.0,0.4430339299642094,0.427757755483577,0.7117527878262224,0.004970619615383588,1.9588986529882066,0.022762743502064923,False,,,,,21
Malawi,2020-10-25,20405318.0,0.36749480495197284,0.757040557219744,1.3401257896594188,0.0037100159733837223,7.069773407723622,0.03464672007426506,False,,,,,21
Central African Republic,2020-10-25,5579148.0,0.1585734753299463,0.18427620626190644,0.32589711224893064,0.0033029452931147628,8.287893642809502,0.1485512419245645,False,,,,,21
Democratic Republic of Congo,2020-10-25,99010216.0,1.453948573294771,2.124575060936386,3.492306186643398,0.0021458139844239767,10.769569352773882,0.010877230439305255,False,,,,,21
Vietnam,2020-10-25,98186856.0,0.17271368259825096,2.0907211058797115,4.439166529216026,0.0021293289051639575,1.769974329480203,0.0018026591354347906,False,,,,,21
Papua New Guinea,2020-10-25,10142625.0,0.1836086514781513,0.19404829407564345,0.30550487530937886,0.0019131959830482096,0.9780240759453658,0.00964271158546595,False,,,,,21
Sudan,2020-10-25,46874200.0,0.3891909551673929,0.8873506010365881,1.6514463812069253,0.00189304692354555,13.611128164903015,0.02903756899297058,False,,,,,21
Burundi,2020-10-25,12889583.0,0.18167649317161105,0.24215532878943005,0.4036392915469762,0.0018786901701120203,0.5762590016862115,0.004470734248627061,False,,,,,21
Thailand,2020-10-25,71697024.0,0.5370346471740217,0.9409536973423657,1.6292768007409855,0.0013124027258681833,7.002692550168433,0.009767061670744428,False,,,,,21
Yemen,2020-10-25,33696612.0,0.09400231931342307,0.12067746275359331,0.21166890807264635,0.00035812936550889247,2.206538835774774,0.0065482513072079,False,,,,,21
China,2020-10-25,1425887360.0,1.8945466123011603,3.4697861752592027,6.006404831355434,0.0002433422353403289,234.14051879066557,0.01642068829270396,False,,,,,21
